Dept,#,Sec,Term Part,CRN,TITLE,Approval Required,Cross Listed,Max Enroll,Actual Enroll,Faculty,Credits,Days1,Time1,Loc1,Days2,Time2,Loc2,Days3,Time3,Loc3,Notes
ACC,101,1,1,10471,ACCOUNTING I,,,38,0,Noel Garrett,4,M R,1530-1645,REMOTE,,-,,,-,,.
ACC,201,1,1,10472,ACCOUNTING II,,,38,0,Noel Garrett,4,T F,1530-1645,REMOTE,,-,,,-,,.
AFR,103,1,1,10617,AFRICAN CIVILIZATIONS TO 1870,,Y,38,0,,4,T R,1715-1830,,,-,,,-,,.
AFR,104,1,1,10784,CHILD RIGHTS/PUBLIC POLICY,,Y,35,0,Rashelle Litchmore,4,T F,1015-1130,REMOTE,,-,,,-,,.
AFR,114,1,1,10677,INTRODUCTION TO HIP HOP DANCE,,Y,15,0,Shakia Johnson,4,T R,1715-1830,CRO MYERS,,-,,,-,,.
AFR,165,1,1,10368,AFRO-CARIBBEAN DANCE I,,Y,15,0,Rosemarie Roberts,4,M R,1015-1130,CRO MYERS,,-,,,-,,.
AFR,165,2,1,10679,AFRO-CARIBBEAN DANCE I,,Y,15,0,Rosemarie Roberts,4,M R,1200-1315,CRO MYERS,,-,,,-,,.
AFR,209,1,1,10658,INTERSECT IDENT IN U.S. FILM,,Y,20,0,Linnea Hussein,4,M W,1715-1830,REMOTE,,-,,,-,,.
AFR,214,1,1,10685,HIP HOP DANCE II,,Y,15,0,Shakia Johnson,4,T R,1900-2015,CRO MYERS,,-,,,-,,.
AFR,224,1,2,10599,"HUMAN RIGHTS, MEDIA & ACTIVISM",,Y,28,0,Tristan Borer,4,T F,1345-1645,REMOTE,,-,,,-,,.
AFR,230,1,1,10831,THE DAY BEYONCE TURNED BLACK,,Y,28,0,Jamil Jorge,4,M W,1900-2015,REMOTE,,-,,,-,,.
AFR,237,1,1,10871,INQUIRY IN BLACK,,Y,25,0,Cherise Harris,4,T R,1715-1830,REMOTE,,-,,,-,,.
AFR,245,1,1,10629,MOD AFRICAN HIST:1870-PRESENT,,Y,28,0,,4,M R,1215-1315,,,-,,,-,,.
AFR,252,1,1,10695,LATINO USA: US LATINX CULTURES,,Y,18,0,Jennifer Rudolph,4,T R,1900-2015,REMOTE,,-,,,-,,.
AFR,262,1,1,10734,WEST AFRICAN DANCE II,,Y,15,0,Shani Collins-Achille,4,T F,1200-1315,CRO MYERS,,-,,,-,,.
AFR,266,1,3,10846,GREAT MIGRATION & ITS LEGACY,,Y,28,0,Taylor Desloge,4,M R,1015-1315,,,-,,,-,,.
AFR,315,1,1,10785,"MEDIA, SELF, AND SOCIETY",,Y,18,0,Sunil Bhatia,4,M R,1015-1130,REMOTE,,-,,,-,,.
AFR,367,1,1,10859,HIST/POL OF RACISM/PUBL HEALTH,,Y,16,0,Taylor Desloge,4,T F,1015-1130,,,-,,,-,,.
AFR,379,1,1,10586,BLACK POETICS,,Y,18,0,Hubert Cook,4,W,0830-1130,REMOTE,,-,,,-,,.
AFR,416,1,1,10779,CONTROVERSIES IN MENTAL HEALTH,,Y,15,0,Nakia Hamlett,4,M R,0830-0945,REMOTE,,-,,,-,,.
AFR,435,1,1,10850,SEGREGATION IN AMERICA,,Y,16,0,Taylor Desloge,4,W,0830-0845,,F,1715-1830,,,-,,.
