SSBSECT_SUBJ_CODE,SSBSECT_CRSE_NUMB,SSBSECT_TERM_CODE,SSBSECT_CRN,SSRATTR_TERM_CODE,SSRATTR_CRN,SSRATTR_ATTR_CODE,SSRATTR_ACTIVITY_DATE
ACC,101,202110,10471,202110,10471,RMOT,2020/10/29
ACC,201,202110,10472,202110,10472,RMOT,2020/10/29
AFR,103,202110,10617,202110,10617,A7,2020/10/28
AFR,103,202110,10617,202110,10617,MOIE,2020/10/28
AFR,103,202110,10617,202110,10617,W,2020/10/28
AFR,104,202110,10784,202110,10784,MOIE,2020/11/03
AFR,104,202110,10784,202110,10784,RMOT,2020/11/08
AFR,104,202110,10784,202110,10784,SDP,2020/11/03
AFR,114,202110,10677,202110,10677,A5,2020/11/02
AFR,114,202110,10677,202110,10677,MOIA,2020/11/02
AFR,165,202110,10368,202110,10368,A5,2020/02/24
AFR,165,202110,10368,202110,10368,MOIA,2020/02/24
AFR,165,202110,10368,202110,10368,RMOT,2020/11/02
AFR,165,202110,10679,202110,10679,A5,2020/11/02
AFR,165,202110,10679,202110,10679,MOIA,2020/11/02
AFR,165,202110,10679,202110,10679,SDP,2020/11/02
AFR,202,202110,10535,202110,10535,A3,2020/03/06
AFR,202,202110,10535,202110,10535,CC,2020/03/06
AFR,202,202110,10535,202110,10535,MOIB,2020/03/06
AFR,202,202110,10535,202110,10535,MOIE,2020/03/06
AFR,202,202110,10535,202110,10535,W,2020/03/06
AFR,208,202110,10598,202110,10598,MOIE,2020/06/09
AFR,209,202110,10658,202110,10658,A4,2020/10/30
AFR,209,202110,10658,202110,10658,MOIB,2020/10/30
AFR,209,202110,10658,202110,10658,RMOT,2020/11/08
AFR,209,202110,10658,202110,10658,W,2020/10/30
AFR,214,202110,10685,202110,10685,A5,2020/11/02
AFR,214,202110,10685,202110,10685,MOIA,2020/11/02
AFR,224,202110,10599,202110,10599,A3,2020/06/09
AFR,224,202110,10599,202110,10599,MOIE,2020/06/09
AFR,224,202110,10599,202110,10599,W,2020/06/09
AFR,230,202110,10831,202110,10831,MOIB,2020/11/05
AFR,230,202110,10831,202110,10831,MOIE,2020/11/05
AFR,230,202110,10831,202110,10831,RMOT,2020/11/08
AFR,237,202110,10871,202110,10871,MOIE,2020/11/16
AFR,237,202110,10871,202110,10871,RMOT,2020/11/16
AFR,245,202110,10629,202110,10629,A7,2020/10/28
AFR,245,202110,10629,202110,10629,MOIE,2020/10/28
AFR,252,202110,10695,202110,10695,ASPA,2020/11/02
AFR,252,202110,10695,202110,10695,MOIB,2020/11/02
AFR,252,202110,10695,202110,10695,MOIE,2020/11/02
AFR,252,202110,10695,202110,10695,RMOT,2020/11/08
AFR,252,202110,10695,202110,10695,WLC,2020/11/02
AFR,260,202110,10511,202110,10511,MOIE,2020/03/04
AFR,262,202110,10734,202110,10734,MOIA,2020/11/02
AFR,266,202110,10846,202110,10846,MOD2,2020/11/06
AFR,266,202110,10846,202110,10846,MOIE,2020/11/05
AFR,266,202110,10846,202110,10846,W,2020/11/05
AFR,304,202110,10090,202110,10090,MOIB,2020/02/04
AFR,304,202110,10090,202110,10090,MOIE,2020/02/04
AFR,304,202110,10090,202110,10090,W,2020/02/04
AFR,315,202110,10785,202110,10785,MOIB,2020/11/03
AFR,315,202110,10785,202110,10785,MOIE,2020/11/03
AFR,315,202110,10785,202110,10785,SDP,2020/11/03
AFR,315,202110,10785,202110,10785,W,2020/11/03
AFR,367,202110,10859,202110,10859,MOIE,2020/11/06
AFR,367,202110,10859,202110,10859,W,2020/11/06
AFR,379,202110,10586,202110,10586,MOIB,2020/03/27
AFR,379,202110,10586,202110,10586,MOIE,2020/03/27
AFR,379,202110,10586,202110,10586,RMOT,2020/11/08
AFR,379,202110,10586,202110,10586,W,2020/03/27
AFR,416,202110,10779,202110,10779,RMOT,2020/11/08
AFR,435,202110,10850,202110,10850,MOIE,2020/11/05
AFR,435,202110,10850,202110,10850,W,2020/11/05
AHI,101,202110,10054,202110,10054,A7,2020/01/30
AHI,101,202110,10054,202110,10054,MOIE,2020/01/30
AHI,101,202110,10054,202110,10054,RMOT,2020/10/29
AHI,103,202110,10055,202110,10055,A7,2020/01/30
AHI,103,202110,10055,202110,10055,CC,2020/01/30
AHI,103,202110,10055,202110,10055,MOIB,2020/01/30
AHI,103,202110,10055,202110,10055,MOIE,2020/01/30
AHI,103,202110,10057,202110,10057,A7,2020/01/30
AHI,103,202110,10057,202110,10057,CC,2020/01/30
AHI,103,202110,10057,202110,10057,MOIB,2020/01/30
AHI,103,202110,10057,202110,10057,MOIE,2020/01/30
AHI,104,202110,10642,202110,10642,A7,2020/10/28
AHI,104,202110,10642,202110,10642,MOD1,2020/10/29
AHI,104,202110,10642,202110,10642,MOIE,2020/10/28
AHI,104,202110,10644,202110,10644,A7,2020/10/28
AHI,104,202110,10644,202110,10644,MOD2,2020/10/29
AHI,104,202110,10644,202110,10644,MOIE,2020/10/28
AHI,105,202110,10059,202110,10059,A7,2020/01/30
AHI,105,202110,10059,202110,10059,CC,2020/01/30
